date,category,product,region,unit,price
17-04-2026,ca_phe,Cà phê Robusta nhân xô,Đắk Lắk,86.933,86.933
17-04-2026,ca_phe,Cà phê Robusta nhân xô,Gia Lai,86.933,86.933
17-04-2026,ca_phe,Cà phê Robusta nhân xô,Lâm Đồng,86.600,86.600
16-04-2026,ca_phe,Cà phê Robusta nhân xô,Đắk Lắk,88.233,88.233
16-04-2026,ca_phe,Cà phê Robusta nhân xô,Gia Lai,88.233,88.233
16-04-2026,ca_phe,Cà phê Robusta nhân xô,Lâm Đồng,87.900,87.900
16-04-2026,ca_phe,Cà phê Robusta nhân xô,Quảng Ngãi,88.200,88.200
15-04-2026,ca_phe,Cà phê Robusta nhân xô,Đắk Lắk,87.033,87.033
15-04-2026,ca_phe,Cà phê Robusta nhân xô,Gia Lai,87.033,87.033
15-04-2026,ca_phe,Cà phê Robusta nhân xô,Lâm Đồng,86.600,86.600
15-04-2026,ca_phe,Cà phê Robusta nhân xô,Quảng Ngãi,87.000,87.000
14-04-2026,ca_phe,Cà phê Robusta nhân xô,Đắk Lắk,86.433,86.433
14-04-2026,ca_phe,Cà phê Robusta nhân xô,Gia Lai,86.433,86.433
14-04-2026,ca_phe,Cà phê Robusta nhân xô,Lâm Đồng,86.000,86.000
14-04-2026,ca_phe,Cà phê Robusta nhân xô,Quảng Ngãi,86.400,86.400
13-04-2026,ca_phe,Cà phê Robusta nhân xô,Đắk Lắk,85.933,85.933
13-04-2026,ca_phe,Cà phê Robusta nhân xô,Gia Lai,85.933,85.933
13-04-2026,ca_phe,Cà phê Robusta nhân xô,Lâm Đồng,85.500,85.500
13-04-2026,ca_phe,Cà phê Robusta nhân xô,Quảng Ngãi,85.900,85.900
10-04-2026,ca_phe,Cà phê Robusta nhân xô,Đắk Lắk,85.433,85.433
2,ca_phe,12345678910...,1,3,3
3,ca_phe,1,2,4,4
